course,final_score
CS31005-ALGORITHMS -II ,8.629078014184397
CS31006-COMPUTER NETWORKS ,6.679370840895341
CS31007-COMPUTER ORGANIZATION & ARCHITECTURE ,10.464777662354305
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM ,10.398534798534799
CS39001-COMPUTER ORGANIZATION LABORATORY ,12.76272999572101
CS39002-OPERATING SYSTEMS LABORATORY ,8.407407407407408
CS39003-COMPILERS LABORATORY ,12.357730263157894
CS39006-NETWORKS LAB. ,7.869427283352814
CS39008-PROJECT SEMINAR ,8.981861642294714
CS40019-IMAGE PROCESSING ,14.349395898919424
CS40032-PRINCIPLES OF PROGRAMMING LANGUAGES ,8.045454545454545
CS41001-THEORY OF COMPUTATION ,5.954881050041017
CS41103-COMPUTATIONAL COMPLEXITY ,5.0
